description,code,material_name_1,thickness_1_m,material_name_2,thickness_2_m,material_name_3,thickness_3_m,Service_Life_floor,Reference,Unnamed: 7
"concrete floor, old",FLOOR_AS1,steel_sheet_galvanised,0.0,stainless_steel_sheet_plain,0.002,concrete_1_percent_steel_reinforcement,0.318,30,"artificial construction with U value and GHG emission matched with original code FLOOR_AS1. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"concrete floor, renovated",FLOOR_AS2,phenolic_resin_pf,0.075,brass_bronze_sheet,0.0,concrete_1_percent_steel_reinforcement,0.532,30,"artificial construction with U value and GHG emission matched with original code FLOOR_AS2. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"concrete floor, new",FLOOR_AS3,phenolic_resin_pf,0.085,brass_bronze_sheet,0.0,concrete_1_percent_steel_reinforcement,0.612,30,"artificial construction with U value and GHG emission matched with original code FLOOR_AS3. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"concrete floor, old - basement (includes excavation)",FLOOR_AS4,steel_sheet_galvanised,0.0,stainless_steel_sheet_plain,0.008,concrete_1_percent_steel_reinforcement,0.318,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS4. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"concrete floor, renovated - basement (includes excavation)",FLOOR_AS5,phenolic_resin_pf,0.07,brass_bronze_sheet,0.001,concrete_1_percent_steel_reinforcement,1.0,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS5. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"concrete floor, new - basement (includes excavation)",FLOOR_AS6,phenolic_resin_pf,0.081,brass_bronze_sheet,0.002,concrete_1_percent_steel_reinforcement,1.0,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS6. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"retrofit basement, add insulation, conventional, sia 380",FLOOR_AS7_C,soft_fibreboard,0.135,steel_sheet_galvanised,0.0,stainless_steel_sheet_18_8_tinned,0.0,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS7_C. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"retrofit basement, add insulation,  low carbon, sia 380",FLOOR_AS7_L,glass_wool_supafil,0.111,brass_bronze_sheet,0.0,stainless_steel_sheet_tinned,0.0,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS7_L. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"new building, basement concrete, with parquet, conventional, sia 380",FLOOR_AS10_C,phenolic_resin_pf,0.087,brass_bronze_sheet,0.0,concrete_1_percent_steel_reinforcement,0.429,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS10_C. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"new building, basement concrete, with parquet, low carbon, sia 380",FLOOR_AS10_L,phenolic_resin_pf,0.088,stainless_steel_sheet_plain,0.0,concrete_1_percent_steel_reinforcement,0.333,60,"artificial construction with U value and GHG emission matched with original code FLOOR_AS10_L. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"new building, floor concrete, with parquet, conventional, sia 380",FLOOR_AS11_C,phenolic_resin_pf,0.131,brass_bronze_sheet,0.0,concrete_1_percent_steel_reinforcement,0.528,30,"artificial construction with U value and GHG emission matched with original code FLOOR_AS11_C. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
"new building, floor concrete, with parquet, low carbon, sia 380",FLOOR_AS11_L,phenolic_resin_pf,0.132,brass_bronze_sheet,0.0,concrete_1_percent_steel_reinforcement,0.372,30,"artificial construction with U value and GHG emission matched with original code FLOOR_AS11_L. Material selection does not have any physical meaning. Original reference: SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010.",
No retrofit,FLOOR_NoRet,glass_wool_supafil,0.005,brass_bronze_sheet,0.0,stainless_steel_sheet_tinned,0.0,60,artificial construction with U value and GHG emission matched with original code FLOOR_NoRet. Material selection does not have any physical meaning. Original reference: ,
